gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,fyr,cik,costat
8479,20161231,2016,INDL,C,D,STD,PEP,PEPSICO INC,USD,12,77476,A
8479,20171231,2017,INDL,C,D,STD,PEP,PEPSICO INC,USD,12,77476,A
8479,20181231,2018,INDL,C,D,STD,PEP,PEPSICO INC,USD,12,77476,A
8479,20191231,2019,INDL,C,D,STD,PEP,PEPSICO INC,USD,12,77476,A
8479,20201231,2020,INDL,C,D,STD,PEP,PEPSICO INC,USD,12,77476,A
8479,20211231,2021,INDL,C,D,STD,PEP,PEPSICO INC,USD,12,77476,A
8530,20161231,2016,INDL,C,D,STD,PFE,PFIZER INC,USD,12,78003,A
8530,20171231,2017,INDL,C,D,STD,PFE,PFIZER INC,USD,12,78003,A
8530,20181231,2018,INDL,C,D,STD,PFE,PFIZER INC,USD,12,78003,A
8530,20191231,2019,INDL,C,D,STD,PFE,PFIZER INC,USD,12,78003,A
8530,20201231,2020,INDL,C,D,STD,PFE,PFIZER INC,USD,12,78003,A
8530,20211231,2021,INDL,C,D,STD,PFE,PFIZER INC,USD,12,78003,A
8539,20161231,2016,INDL,C,D,STD,EXC,EXELON CORP,USD,12,1109357,A
8539,20171231,2017,INDL,C,D,STD,EXC,EXELON CORP,USD,12,1109357,A
8539,20181231,2018,INDL,C,D,STD,EXC,EXELON CORP,USD,12,1109357,A
8539,20191231,2019,INDL,C,D,STD,EXC,EXELON CORP,USD,12,1109357,A
8539,20201231,2020,INDL,C,D,STD,EXC,EXELON CORP,USD,12,1109357,A
8539,20211231,2021,INDL,C,D,STD,EXC,EXELON CORP,USD,12,1109357,A
8543,20161231,2016,INDL,C,D,STD,MO,ALTRIA GROUP INC,USD,12,764180,A
8543,20171231,2017,INDL,C,D,STD,MO,ALTRIA GROUP INC,USD,12,764180,A
8543,20181231,2018,INDL,C,D,STD,MO,ALTRIA GROUP INC,USD,12,764180,A
8543,20191231,2019,INDL,C,D,STD,MO,ALTRIA GROUP INC,USD,12,764180,A
8543,20201231,2020,INDL,C,D,STD,MO,ALTRIA GROUP INC,USD,12,764180,A
8543,20211231,2021,INDL,C,D,STD,MO,ALTRIA GROUP INC,USD,12,764180,A
8549,20161231,2016,INDL,C,D,STD,COP,CONOCOPHILLIPS,USD,12,1163165,A
8549,20171231,2017,INDL,C,D,STD,COP,CONOCOPHILLIPS,USD,12,1163165,A
8549,20181231,2018,INDL,C,D,STD,COP,CONOCOPHILLIPS,USD,12,1163165,A
8549,20191231,2019,INDL,C,D,STD,COP,CONOCOPHILLIPS,USD,12,1163165,A
8549,20201231,2020,INDL,C,D,STD,COP,CONOCOPHILLIPS,USD,12,1163165,A
8549,20211231,2021,INDL,C,D,STD,COP,CONOCOPHILLIPS,USD,12,1163165,A
8762,20160630,2016,INDL,C,D,STD,PG,PROCTER & GAMBLE CO,USD,6,80424,A
8762,20170630,2017,INDL,C,D,STD,PG,PROCTER & GAMBLE CO,USD,6,80424,A
8762,20180630,2018,INDL,C,D,STD,PG,PROCTER & GAMBLE CO,USD,6,80424,A
8762,20190630,2019,INDL,C,D,STD,PG,PROCTER & GAMBLE CO,USD,6,80424,A
8762,20200630,2020,INDL,C,D,STD,PG,PROCTER & GAMBLE CO,USD,6,80424,A
8762,20210630,2021,INDL,C,D,STD,PG,PROCTER & GAMBLE CO,USD,6,80424,A
8762,20220630,2022,INDL,C,D,STD,PG,PROCTER & GAMBLE CO,USD,6,80424,A
9465,20161231,2016,INDL,C,D,STD,SLB,SCHLUMBERGER LTD,USD,12,87347,A
9465,20171231,2017,INDL,C,D,STD,SLB,SCHLUMBERGER LTD,USD,12,87347,A
9465,20181231,2018,INDL,C,D,STD,SLB,SCHLUMBERGER LTD,USD,12,87347,A
9465,20191231,2019,INDL,C,D,STD,SLB,SCHLUMBERGER LTD,USD,12,87347,A
9465,20201231,2020,INDL,C,D,STD,SLB,SCHLUMBERGER LTD,USD,12,87347,A
9465,20211231,2021,INDL,C,D,STD,SLB,SCHLUMBERGER LTD,USD,12,87347,A
9850,20161231,2016,INDL,C,D,STD,SO,SOUTHERN CO,USD,12,92122,A
9850,20171231,2017,INDL,C,D,STD,SO,SOUTHERN CO,USD,12,92122,A
9850,20181231,2018,INDL,C,D,STD,SO,SOUTHERN CO,USD,12,92122,A
9850,20191231,2019,INDL,C,D,STD,SO,SOUTHERN CO,USD,12,92122,A
9850,20201231,2020,INDL,C,D,STD,SO,SOUTHERN CO,USD,12,92122,A
9850,20211231,2021,INDL,C,D,STD,SO,SOUTHERN CO,USD,12,92122,A
9899,20161231,2016,INDL,C,D,STD,T,AT&T INC,USD,12,732717,A
9899,20171231,2017,INDL,C,D,STD,T,AT&T INC,USD,12,732717,A
9899,20181231,2018,INDL,C,D,STD,T,AT&T INC,USD,12,732717,A
9899,20191231,2019,INDL,C,D,STD,T,AT&T INC,USD,12,732717,A
9899,20201231,2020,INDL,C,D,STD,T,AT&T INC,USD,12,732717,A
9899,20211231,2021,INDL,C,D,STD,T,AT&T INC,USD,12,732717,A
10499,20161231,2016,INDL,C,D,STD,TXN,TEXAS INSTRUMENTS INC,USD,12,97476,A
10499,20171231,2017,INDL,C,D,STD,TXN,TEXAS INSTRUMENTS INC,USD,12,97476,A
10499,20181231,2018,INDL,C,D,STD,TXN,TEXAS INSTRUMENTS INC,USD,12,97476,A
10499,20191231,2019,INDL,C,D,STD,TXN,TEXAS INSTRUMENTS INC,USD,12,97476,A
10499,20201231,2020,INDL,C,D,STD,TXN,TEXAS INSTRUMENTS INC,USD,12,97476,A
10499,20211231,2021,INDL,C,D,STD,TXN,TEXAS INSTRUMENTS INC,USD,12,97476,A
10530,20161231,2016,INDL,C,D,STD,TMO,THERMO FISHER SCIENTIFIC INC,USD,12,97745,A
10530,20171231,2017,INDL,C,D,STD,TMO,THERMO FISHER SCIENTIFIC INC,USD,12,97745,A
10530,20181231,2018,INDL,C,D,STD,TMO,THERMO FISHER SCIENTIFIC INC,USD,12,97745,A
10530,20191231,2019,INDL,C,D,STD,TMO,THERMO FISHER SCIENTIFIC INC,USD,12,97745,A
10530,20201231,2020,INDL,C,D,STD,TMO,THERMO FISHER SCIENTIFIC INC,USD,12,97745,A
10530,20211231,2021,INDL,C,D,STD,TMO,THERMO FISHER SCIENTIFIC INC,USD,12,97745,A
10867,20161231,2016,INDL,C,D,STD,UNP,UNION PACIFIC CORP,USD,12,100885,A
10867,20171231,2017,INDL,C,D,STD,UNP,UNION PACIFIC CORP,USD,12,100885,A
10867,20181231,2018,INDL,C,D,STD,UNP,UNION PACIFIC CORP,USD,12,100885,A
10867,20191231,2019,INDL,C,D,STD,UNP,UNION PACIFIC CORP,USD,12,100885,A
10867,20201231,2020,INDL,C,D,STD,UNP,UNION PACIFIC CORP,USD,12,100885,A
10867,20211231,2021,INDL,C,D,STD,UNP,UNION PACIFIC CORP,USD,12,100885,A
10903,20161231,2016,FS,C,D,STD,UNH,UNITEDHEALTH GROUP INC,USD,12,731766,A
10903,20161231,2016,INDL,C,D,STD,UNH,UNITEDHEALTH GROUP INC,USD,12,731766,A
10903,20171231,2017,FS,C,D,STD,UNH,UNITEDHEALTH GROUP INC,USD,12,731766,A
10903,20171231,2017,INDL,C,D,STD,UNH,UNITEDHEALTH GROUP INC,USD,12,731766,A
10903,20181231,2018,FS,C,D,STD,UNH,UNITEDHEALTH GROUP INC,USD,12,731766,A
10903,20181231,2018,INDL,C,D,STD,UNH,UNITEDHEALTH GROUP INC,USD,12,731766,A
10903,20191231,2019,FS,C,D,STD,UNH,UNITEDHEALTH GROUP INC,USD,12,731766,A
10903,20191231,2019,INDL,C,D,STD,UNH,UNITEDHEALTH GROUP INC,USD,12,731766,A
10903,20201231,2020,FS,C,D,STD,UNH,UNITEDHEALTH GROUP INC,USD,12,731766,A
10903,20201231,2020,INDL,C,D,STD,UNH,UNITEDHEALTH GROUP INC,USD,12,731766,A
10903,20211231,2021,FS,C,D,STD,UNH,UNITEDHEALTH GROUP INC,USD,12,731766,A
10903,20211231,2021,INDL,C,D,STD,UNH,UNITEDHEALTH GROUP INC,USD,12,731766,A
10920,20161231,2016,INDL,C,D,STD,UPS,UNITED PARCEL SERVICE INC,USD,12,1090727,A
10920,20171231,2017,INDL,C,D,STD,UPS,UNITED PARCEL SERVICE INC,USD,12,1090727,A
10920,20181231,2018,INDL,C,D,STD,UPS,UNITED PARCEL SERVICE INC,USD,12,1090727,A
10920,20191231,2019,INDL,C,D,STD,UPS,UNITED PARCEL SERVICE INC,USD,12,1090727,A
10920,20201231,2020,INDL,C,D,STD,UPS,UNITED PARCEL SERVICE INC,USD,12,1090727,A
10920,20211231,2021,INDL,C,D,STD,UPS,UNITED PARCEL SERVICE INC,USD,12,1090727,A
10983,20161231,2016,INDL,C,D,STD,RTX,RAYTHEON TECHNOLOGIES CORP,USD,12,101829,A
10983,20171231,2017,INDL,C,D,STD,RTX,RAYTHEON TECHNOLOGIES CORP,USD,12,101829,A
10983,20181231,2018,INDL,C,D,STD,RTX,RAYTHEON TECHNOLOGIES CORP,USD,12,101829,A
10983,20191231,2019,INDL,C,D,STD,RTX,RAYTHEON TECHNOLOGIES CORP,USD,12,101829,A
10983,20201231,2020,INDL,C,D,STD,RTX,RAYTHEON TECHNOLOGIES CORP,USD,12,101829,A
10983,20211231,2021,INDL,C,D,STD,RTX,RAYTHEON TECHNOLOGIES CORP,USD,12,101829,A
11259,20160131,2015,INDL,C,D,STD,WMT,WALMART INC,USD,1,104169,A
11259,20170131,2016,INDL,C,D,STD,WMT,WALMART INC,USD,1,104169,A
11259,20180131,2017,INDL,C,D,STD,WMT,WALMART INC,USD,1,104169,A
11259,20190131,2018,INDL,C,D,STD,WMT,WALMART INC,USD,1,104169,A
11259,20200131,2019,INDL,C,D,STD,WMT,WALMART INC,USD,1,104169,A
11259,20210131,2020,INDL,C,D,STD,WMT,WALMART INC,USD,1,104169,A
11259,20220131,2021,INDL,C,D,STD,WMT,WALMART INC,USD,1,104169,A
11264,20160831,2016,INDL,C,D,STD,WBA,WALGREENS BOOTS ALLIANCE INC,USD,8,1618921,A
11264,20170831,2017,INDL,C,D,STD,WBA,WALGREENS BOOTS ALLIANCE INC,USD,8,1618921,A
11264,20180831,2018,INDL,C,D,STD,WBA,WALGREENS BOOTS ALLIANCE INC,USD,8,1618921,A
11264,20190831,2019,INDL,C,D,STD,WBA,WALGREENS BOOTS ALLIANCE INC,USD,8,1618921,A
11264,20200831,2020,INDL,C,D,STD,WBA,WALGREENS BOOTS ALLIANCE INC,USD,8,1618921,A
11264,20210831,2021,INDL,C,D,STD,WBA,WALGREENS BOOTS ALLIANCE INC,USD,8,1618921,A
11264,20220831,2022,INDL,C,D,STD,WBA,WALGREENS BOOTS ALLIANCE INC,USD,8,1618921,A
12124,20161231,2016,FS,C,D,STD,MS,MORGAN STANLEY,USD,12,895421,A
12124,20161231,2016,INDL,C,D,STD,MS,MORGAN STANLEY,USD,12,895421,A
12124,20171231,2017,FS,C,D,STD,MS,MORGAN STANLEY,USD,12,895421,A
12124,20171231,2017,INDL,C,D,STD,MS,MORGAN STANLEY,USD,12,895421,A
12124,20181231,2018,FS,C,D,STD,MS,MORGAN STANLEY,USD,12,895421,A
12124,20181231,2018,INDL,C,D,STD,MS,MORGAN STANLEY,USD,12,895421,A
12124,20191231,2019,FS,C,D,STD,MS,MORGAN STANLEY,USD,12,895421,A
12124,20191231,2019,INDL,C,D,STD,MS,MORGAN STANLEY,USD,12,895421,A
12124,20201231,2020,FS,C,D,STD,MS,MORGAN STANLEY,USD,12,895421,A
12124,20201231,2020,INDL,C,D,STD,MS,MORGAN STANLEY,USD,12,895421,A
12124,20211231,2021,FS,C,D,STD,MS,MORGAN STANLEY,USD,12,895421,A
12124,20211231,2021,INDL,C,D,STD,MS,MORGAN STANLEY,USD,12,895421,A
12141,20160630,2016,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,6,789019,A
12141,20170630,2017,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,6,789019,A
12141,20180630,2018,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,6,789019,A
12141,20190630,2019,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,6,789019,A
12141,20200630,2020,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,6,789019,A
12141,20210630,2021,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,6,789019,A
12141,20220630,2022,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,6,789019,A
12142,20160531,2015,INDL,C,D,STD,ORCL,ORACLE CORP,USD,5,1341439,A
12142,20170531,2016,INDL,C,D,STD,ORCL,ORACLE CORP,USD,5,1341439,A
12142,20180531,2017,INDL,C,D,STD,ORCL,ORACLE CORP,USD,5,1341439,A
12142,20190531,2018,INDL,C,D,STD,ORCL,ORACLE CORP,USD,5,1341439,A
12142,20200531,2019,INDL,C,D,STD,ORCL,ORACLE CORP,USD,5,1341439,A
12142,20210531,2020,INDL,C,D,STD,ORCL,ORACLE CORP,USD,5,1341439,A
12142,20220531,2021,INDL,C,D,STD,ORCL,ORACLE CORP,USD,5,1341439,A
12540,20161130,2016,INDL,C,D,STD,ADBE,ADOBE INC,USD,11,796343,A
12540,20171130,2017,INDL,C,D,STD,ADBE,ADOBE INC,USD,11,796343,A
12540,20181130,2018,INDL,C,D,STD,ADBE,ADOBE INC,USD,11,796343,A
12540,20191130,2019,INDL,C,D,STD,ADBE,ADOBE INC,USD,11,796343,A
12540,20201130,2020,INDL,C,D,STD,ADBE,ADOBE INC,USD,11,796343,A
12540,20211130,2021,INDL,C,D,STD,ADBE,ADOBE INC,USD,11,796343,A
16101,20161231,2016,INDL,C,D,STD,ABBV,ABBVIE INC,USD,12,1551152,A
16101,20171231,2017,INDL,C,D,STD,ABBV,ABBVIE INC,USD,12,1551152,A
16101,20181231,2018,INDL,C,D,STD,ABBV,ABBVIE INC,USD,12,1551152,A
16101,20191231,2019,INDL,C,D,STD,ABBV,ABBVIE INC,USD,12,1551152,A
16101,20201231,2020,INDL,C,D,STD,ABBV,ABBVIE INC,USD,12,1551152,A
16101,20211231,2021,INDL,C,D,STD,ABBV,ABBVIE INC,USD,12,1551152,A
20779,20160731,2016,INDL,C,D,STD,CSCO,CISCO SYSTEMS INC,USD,7,858877,A
20779,20170731,2017,INDL,C,D,STD,CSCO,CISCO SYSTEMS INC,USD,7,858877,A
20779,20180731,2018,INDL,C,D,STD,CSCO,CISCO SYSTEMS INC,USD,7,858877,A
20779,20190731,2019,INDL,C,D,STD,CSCO,CISCO SYSTEMS INC,USD,7,858877,A
20779,20200731,2020,INDL,C,D,STD,CSCO,CISCO SYSTEMS INC,USD,7,858877,A
20779,20210731,2021,INDL,C,D,STD,CSCO,CISCO SYSTEMS INC,USD,7,858877,A
20779,20220731,2022,INDL,C,D,STD,CSCO,CISCO SYSTEMS INC,USD,7,858877,A
24468,20161231,2016,INDL,C,D,STD,BIIB,BIOGEN INC,USD,12,875045,A
24468,20171231,2017,INDL,C,D,STD,BIIB,BIOGEN INC,USD,12,875045,A
24468,20181231,2018,INDL,C,D,STD,BIIB,BIOGEN INC,USD,12,875045,A
24468,20191231,2019,INDL,C,D,STD,BIIB,BIOGEN INC,USD,12,875045,A
24468,20201231,2020,INDL,C,D,STD,BIIB,BIOGEN INC,USD,12,875045,A
24468,20211231,2021,INDL,C,D,STD,BIIB,BIOGEN INC,USD,12,875045,A
24616,20161231,2016,INDL,C,D,STD,PYPL,PAYPAL HOLDINGS INC,USD,12,1633917,A
24616,20171231,2017,INDL,C,D,STD,PYPL,PAYPAL HOLDINGS INC,USD,12,1633917,A
24616,20181231,2018,INDL,C,D,STD,PYPL,PAYPAL HOLDINGS INC,USD,12,1633917,A
24616,20191231,2019,INDL,C,D,STD,PYPL,PAYPAL HOLDINGS INC,USD,12,1633917,A
24616,20201231,2020,INDL,C,D,STD,PYPL,PAYPAL HOLDINGS INC,USD,12,1633917,A
24616,20211231,2021,INDL,C,D,STD,PYPL,PAYPAL HOLDINGS INC,USD,12,1633917,A
24800,20160930,2016,INDL,C,D,STD,QCOM,QUALCOMM INC,USD,9,804328,A
24800,20170930,2017,INDL,C,D,STD,QCOM,QUALCOMM INC,USD,9,804328,A
24800,20180930,2018,INDL,C,D,STD,QCOM,QUALCOMM INC,USD,9,804328,A
24800,20190930,2019,INDL,C,D,STD,QCOM,QUALCOMM INC,USD,9,804328,A
24800,20200930,2020,INDL,C,D,STD,QCOM,QUALCOMM INC,USD,9,804328,A
24800,20210930,2021,INDL,C,D,STD,QCOM,QUALCOMM INC,USD,9,804328,A
24800,20220930,2022,INDL,C,D,STD,QCOM,QUALCOMM INC,USD,9,804328,A
24856,20161231,2016,INDL,C,D,STD,GILD,GILEAD SCIENCES INC,USD,12,882095,A
24856,20171231,2017,INDL,C,D,STD,GILD,GILEAD SCIENCES INC,USD,12,882095,A
24856,20181231,2018,INDL,C,D,STD,GILD,GILEAD SCIENCES INC,USD,12,882095,A
24856,20191231,2019,INDL,C,D,STD,GILD,GILEAD SCIENCES INC,USD,12,882095,A
24856,20201231,2020,INDL,C,D,STD,GILD,GILEAD SCIENCES INC,USD,12,882095,A
24856,20211231,2021,INDL,C,D,STD,GILD,GILEAD SCIENCES INC,USD,12,882095,A
25434,20160930,2016,INDL,C,D,STD,SBUX,STARBUCKS CORP,USD,9,829224,A
25434,20170930,2017,INDL,C,D,STD,SBUX,STARBUCKS CORP,USD,9,829224,A
25434,20180930,2018,INDL,C,D,STD,SBUX,STARBUCKS CORP,USD,9,829224,A
25434,20190930,2019,INDL,C,D,STD,SBUX,STARBUCKS CORP,USD,9,829224,A
25434,20200930,2020,INDL,C,D,STD,SBUX,STARBUCKS CORP,USD,9,829224,A
25434,20210930,2021,INDL,C,D,STD,SBUX,STARBUCKS CORP,USD,9,829224,A
25434,20220930,2022,INDL,C,D,STD,SBUX,STARBUCKS CORP,USD,9,829224,A
28349,20161231,2016,FS,C,D,STD,ALL,ALLSTATE CORP,USD,12,899051,A
28349,20161231,2016,INDL,C,D,STD,ALL,ALLSTATE CORP,USD,12,899051,A
28349,20171231,2017,FS,C,D,STD,ALL,ALLSTATE CORP,USD,12,899051,A
28349,20171231,2017,INDL,C,D,STD,ALL,ALLSTATE CORP,USD,12,899051,A
28349,20181231,2018,FS,C,D,STD,ALL,ALLSTATE CORP,USD,12,899051,A
28349,20181231,2018,INDL,C,D,STD,ALL,ALLSTATE CORP,USD,12,899051,A
28349,20191231,2019,FS,C,D,STD,ALL,ALLSTATE CORP,USD,12,899051,A
28349,20191231,2019,INDL,C,D,STD,ALL,ALLSTATE CORP,USD,12,899051,A
28349,20201231,2020,FS,C,D,STD,ALL,ALLSTATE CORP,USD,12,899051,A
28349,20201231,2020,INDL,C,D,STD,ALL,ALLSTATE CORP,USD,12,899051,A
28349,20211231,2021,FS,C,D,STD,ALL,ALLSTATE CORP,USD,12,899051,A
28349,20211231,2021,INDL,C,D,STD,ALL,ALLSTATE CORP,USD,12,899051,A
29028,20160831,2016,INDL,C,D,STD,COST,COSTCO WHOLESALE CORP,USD,8,909832,A
29028,20170831,2017,INDL,C,D,STD,COST,COSTCO WHOLESALE CORP,USD,8,909832,A
29028,20180831,2018,INDL,C,D,STD,COST,COSTCO WHOLESALE CORP,USD,8,909832,A
29028,20190831,2019,INDL,C,D,STD,COST,COSTCO WHOLESALE CORP,USD,8,909832,A
29028,20200831,2020,INDL,C,D,STD,COST,COSTCO WHOLESALE CORP,USD,8,909832,A
29028,20210831,2021,INDL,C,D,STD,COST,COSTCO WHOLESALE CORP,USD,8,909832,A
29028,20220831,2022,INDL,C,D,STD,COST,COSTCO WHOLESALE CORP,USD,8,909832,A
29389,20161231,2016,FS,C,D,STD,SPG,SIMON PROPERTY GROUP INC,USD,12,1063761,A
29389,20161231,2016,INDL,C,D,STD,SPG,SIMON PROPERTY GROUP INC,USD,12,1063761,A
29389,20171231,2017,FS,C,D,STD,SPG,SIMON PROPERTY GROUP INC,USD,12,1063761,A
29389,20171231,2017,INDL,C,D,STD,SPG,SIMON PROPERTY GROUP INC,USD,12,1063761,A
29389,20181231,2018,FS,C,D,STD,SPG,SIMON PROPERTY GROUP INC,USD,12,1063761,A
29389,20181231,2018,INDL,C,D,STD,SPG,SIMON PROPERTY GROUP INC,USD,12,1063761,A
29389,20191231,2019,FS,C,D,STD,SPG,SIMON PROPERTY GROUP INC,USD,12,1063761,A
29389,20191231,2019,INDL,C,D,STD,SPG,SIMON PROPERTY GROUP INC,USD,12,1063761,A
29389,20201231,2020,FS,C,D,STD,SPG,SIMON PROPERTY GROUP INC,USD,12,1063761,A
29389,20201231,2020,INDL,C,D,STD,SPG,SIMON PROPERTY GROUP INC,USD,12,1063761,A
29389,20211231,2021,FS,C,D,STD,SPG,SIMON PROPERTY GROUP INC,USD,12,1063761,A
29389,20211231,2021,INDL,C,D,STD,SPG,SIMON PROPERTY GROUP INC,USD,12,1063761,A
30990,20161231,2016,FS,C,D,STD,COF,CAPITAL ONE FINANCIAL CORP,USD,12,927628,A
30990,20161231,2016,INDL,C,D,STD,COF,CAPITAL ONE FINANCIAL CORP,USD,12,927628,A
30990,20171231,2017,FS,C,D,STD,COF,CAPITAL ONE FINANCIAL CORP,USD,12,927628,A
30990,20171231,2017,INDL,C,D,STD,COF,CAPITAL ONE FINANCIAL CORP,USD,12,927628,A
30990,20181231,2018,FS,C,D,STD,COF,CAPITAL ONE FINANCIAL CORP,USD,12,927628,A
30990,20181231,2018,INDL,C,D,STD,COF,CAPITAL ONE FINANCIAL CORP,USD,12,927628,A
30990,20191231,2019,FS,C,D,STD,COF,CAPITAL ONE FINANCIAL CORP,USD,12,927628,A
30990,20191231,2019,INDL,C,D,STD,COF,CAPITAL ONE FINANCIAL CORP,USD,12,927628,A
30990,20201231,2020,FS,C,D,STD,COF,CAPITAL ONE FINANCIAL CORP,USD,12,927628,A
30990,20201231,2020,INDL,C,D,STD,COF,CAPITAL ONE FINANCIAL CORP,USD,12,927628,A
30990,20211231,2021,FS,C,D,STD,COF,CAPITAL ONE FINANCIAL CORP,USD,12,927628,A
30990,20211231,2021,INDL,C,D,STD,COF,CAPITAL ONE FINANCIAL CORP,USD,12,927628,A
34443,20161231,2016,INDL,C,D,STD,DOW,DOW INC,USD,12,1751788,A
34443,20171231,2017,INDL,C,D,STD,DOW,DOW INC,USD,12,1751788,A
34443,20181231,2018,INDL,C,D,STD,DOW,DOW INC,USD,12,1751788,A
34443,20191231,2019,INDL,C,D,STD,DOW,DOW INC,USD,12,1751788,A
34443,20201231,2020,INDL,C,D,STD,DOW,DOW INC,USD,12,1751788,A
34443,20211231,2021,INDL,C,D,STD,DOW,DOW INC,USD,12,1751788,A
64768,20161231,2016,INDL,C,D,STD,AMZN,AMAZON.COM INC,USD,12,1018724,A
64768,20171231,2017,INDL,C,D,STD,AMZN,AMAZON.COM INC,USD,12,1018724,A
64768,20181231,2018,INDL,C,D,STD,AMZN,AMAZON.COM INC,USD,12,1018724,A
64768,20191231,2019,INDL,C,D,STD,AMZN,AMAZON.COM INC,USD,12,1018724,A
64768,20201231,2020,INDL,C,D,STD,AMZN,AMAZON.COM INC,USD,12,1018724,A
64768,20211231,2021,INDL,C,D,STD,AMZN,AMAZON.COM INC,USD,12,1018724,A
105365,20161231,2016,INDL,C,D,STD,AMT,AMERICAN TOWER CORP,USD,12,1053507,A
105365,20171231,2017,INDL,C,D,STD,AMT,AMERICAN TOWER CORP,USD,12,1053507,A
105365,20181231,2018,INDL,C,D,STD,AMT,AMERICAN TOWER CORP,USD,12,1053507,A
105365,20191231,2019,INDL,C,D,STD,AMT,AMERICAN TOWER CORP,USD,12,1053507,A
105365,20201231,2020,INDL,C,D,STD,AMT,AMERICAN TOWER CORP,USD,12,1053507,A
105365,20211231,2021,INDL,C,D,STD,AMT,AMERICAN TOWER CORP,USD,12,1053507,A
114628,20161231,2016,FS,C,D,STD,GS,GOLDMAN SACHS GROUP INC,USD,12,886982,A
114628,20161231,2016,INDL,C,D,STD,GS,GOLDMAN SACHS GROUP INC,USD,12,886982,A
114628,20171231,2017,FS,C,D,STD,GS,GOLDMAN SACHS GROUP INC,USD,12,886982,A
114628,20171231,2017,INDL,C,D,STD,GS,GOLDMAN SACHS GROUP INC,USD,12,886982,A
114628,20181231,2018,FS,C,D,STD,GS,GOLDMAN SACHS GROUP INC,USD,12,886982,A
114628,20181231,2018,INDL,C,D,STD,GS,GOLDMAN SACHS GROUP INC,USD,12,886982,A
114628,20191231,2019,FS,C,D,STD,GS,GOLDMAN SACHS GROUP INC,USD,12,886982,A
114628,20191231,2019,INDL,C,D,STD,GS,GOLDMAN SACHS GROUP INC,USD,12,886982,A
114628,20201231,2020,FS,C,D,STD,GS,GOLDMAN SACHS GROUP INC,USD,12,886982,A
114628,20201231,2020,INDL,C,D,STD,GS,GOLDMAN SACHS GROUP INC,USD,12,886982,A
114628,20211231,2021,FS,C,D,STD,GS,GOLDMAN SACHS GROUP INC,USD,12,886982,A
114628,20211231,2021,INDL,C,D,STD,GS,GOLDMAN SACHS GROUP INC,USD,12,886982,A
117768,20160131,2015,INDL,C,D,STD,NVDA,NVIDIA CORP,USD,1,1045810,A
117768,20170131,2016,INDL,C,D,STD,NVDA,NVIDIA CORP,USD,1,1045810,A
117768,20180131,2017,INDL,C,D,STD,NVDA,NVIDIA CORP,USD,1,1045810,A
117768,20190131,2018,INDL,C,D,STD,NVDA,NVIDIA CORP,USD,1,1045810,A
117768,20200131,2019,INDL,C,D,STD,NVDA,NVIDIA CORP,USD,1,1045810,A
117768,20210131,2020,INDL,C,D,STD,NVDA,NVIDIA CORP,USD,1,1045810,A
117768,20220131,2021,INDL,C,D,STD,NVDA,NVIDIA CORP,USD,1,1045810,A
119314,20161231,2016,INDL,C,D,STD,BKNG,BOOKING HOLDINGS INC,USD,12,1075531,A
119314,20171231,2017,INDL,C,D,STD,BKNG,BOOKING HOLDINGS INC,USD,12,1075531,A
119314,20181231,2018,INDL,C,D,STD,BKNG,BOOKING HOLDINGS INC,USD,12,1075531,A
119314,20191231,2019,INDL,C,D,STD,BKNG,BOOKING HOLDINGS INC,USD,12,1075531,A
119314,20201231,2020,INDL,C,D,STD,BKNG,BOOKING HOLDINGS INC,USD,12,1075531,A
119314,20211231,2021,INDL,C,D,STD,BKNG,BOOKING HOLDINGS INC,USD,12,1075531,A
124434,20161231,2016,FS,C,D,STD,BLK,BLACKROCK INC,USD,12,1364742,A
124434,20161231,2016,INDL,C,D,STD,BLK,BLACKROCK INC,USD,12,1364742,A
124434,20171231,2017,FS,C,D,STD,BLK,BLACKROCK INC,USD,12,1364742,A
124434,20171231,2017,INDL,C,D,STD,BLK,BLACKROCK INC,USD,12,1364742,A
124434,20181231,2018,FS,C,D,STD,BLK,BLACKROCK INC,USD,12,1364742,A
124434,20181231,2018,INDL,C,D,STD,BLK,BLACKROCK INC,USD,12,1364742,A
124434,20191231,2019,FS,C,D,STD,BLK,BLACKROCK INC,USD,12,1364742,A
124434,20191231,2019,INDL,C,D,STD,BLK,BLACKROCK INC,USD,12,1364742,A
124434,20201231,2020,FS,C,D,STD,BLK,BLACKROCK INC,USD,12,1364742,A
124434,20201231,2020,INDL,C,D,STD,BLK,BLACKROCK INC,USD,12,1364742,A
124434,20211231,2021,FS,C,D,STD,BLK,BLACKROCK INC,USD,12,1364742,A
124434,20211231,2021,INDL,C,D,STD,BLK,BLACKROCK INC,USD,12,1364742,A
126136,20161231,2016,INDL,C,D,STD,CHTR,CHARTER COMMUNICATIONS INC,USD,12,1091667,A
126136,20171231,2017,INDL,C,D,STD,CHTR,CHARTER COMMUNICATIONS INC,USD,12,1091667,A
